question,answer,question_ar,answer_ar
"Steps to select and register in the credit hours system (Computer Science students, excluding transfers and advanced entries)","Student visits the academic advisor to select courses.The advisor reviews the selections and, if approved, sends an electronic payment authorization to the cashier (if not approved, the fees will not be available for payment).The student signs a paper form with their selections and the academic advisor signs a second copy.The student goes to the cashier to pay the fees.The student goes to Student Affairs to collect the ID card.",خطوات اختيار وتسجيل المواد في نظام الساعات المعتمدة (طلاب علوم الحاسب غير المحولين).,يزور الطالب المرشد الأكاديمي لاختيار المواد ثم يعتمد الجدول ويستلم الكارنيه من شؤون الطلاب.
Steps to select and register in the credit hours system (Computer Science transfers and direct entry),"Student goes to Student Affairs to create an academic email and obtain the password.Student then visits the academic advisor to choose courses; the advisor reviews the selection and, if approved, sends an electronic payment authorization to the cashier.The student signs a paper form with their selections and the advisor signs a second copy.The student goes to the cashier to pay the fees.The student returns to Student Affairs to collect the temporary ID card.",خطوات اختيار وتسجيل المواد في نظام الساعات المعتمدة (للمحولين والمقبولين مباشرة).,يتوجه الطالب لشؤون الطلاب لفتح ملف أكاديمي ثم يراجع الجدول مع المرشد ويستلم كارنيه مؤقت.
What is the language of instruction?,The Computer Science division is taught in English. The Business Information Systems and Accounting programs are taught in Arabic and/or English according to each course.,ما هي لغة الدراسة؟,قسم علوم الحاسب يُدرس باللغة الإنجليزية، وباقي البرامج بالعربية أو الإنجليزية حسب المقرر.
What are the admission requirements?,"Admission to the institute is through the national coordination office (Tansiq) and follows its rules regarding qualifications, total score and the applied program, and the application procedures and dates announced by the coordination authority.",ما هي شروط القبول؟,القبول يتم من خلال مكتب التنسيق وفق المواعيد والشروط المعلنة.
What procedures should I follow after acceptance?,"Go to Student Affairs with your printed nomination card from the coordination website to complete registration procedures,medical examination, and fee payment. You must submit originals of: the high school certificate,birth certificate, Military Form 2, six passport-size photos, and copies of the student and guardian IDs.",ما هي الإجراءات الواجب اتباعها بعد القبول؟,التوجه لشؤون الطلاب مع بطاقة الترشيح المطبوعة والمستندات المطلوبة وصور شخصية.
Is there pre-coordination seat reservation?,There is no reservation before coordination; admission follows the rules and minimum scores set by the coordination office.Prospective students and guardians may visit the institute to learn about its facilities.,هل يوجد حجز مقاعد قبل التنسيق؟,لا يوجد حجز قبل التنسيق، ويمكن لولي الأمر زيارة المعهد للتعرف عليه فقط.
Is registering the institute among my preferences required for electronic transfer on the coordination site?,No.,هل يجب تسجيل المعهد في رغباتي لإتمام التحويل الإلكتروني على موقع التنسيق؟,لا، ليس شرطًا تسجيل المعهد في الرغبات لإتمام التحويل الإلكتروني.
"If I am nominated to another institution, can I transfer to the institute?",Yes  transfers to the institute are possible via the coordination website provided the student meets the requiredscore announced by the coordination office and applies during the official transfer period; coordination approval will issue a new nomination card.,إذا تم ترشيحي لمؤسسة أخرى، هل يمكن التحويل للمعهد؟,نعم، يمكن التحويل عبر موقع التنسيق خلال فترة التحويلات.
Are paper transfers allowed for students graduating in 2025?,No  paper-based transfers for newly qualified 2025 students are prohibited according to Ministry instructions.,هل يُسمح بالتحويل الورقي لطلاب دفعة 2025؟,لا، التحويل الورقي غير مسموح لدفعة 2025.
What are tuition fees for the institute programs?,Tuition fees are set annually by the Ministry of Higher Education. The fees for Egyptian students for 20242025 remain in effect until the ministry publishes the new rates for 20252026.,ما هي مصاريف برامج المعهد؟,المصاريف تحدد سنويًا من وزارة التعليم العالي حسب البرنامج.
Is there an annual increase in fees?,Payment schedule: 70% at initial registration at the start of the academic year and 30% at the start of the second term (after the mid-year break).,هل توجد زيادة سنوية في المصاريف؟,نعم، توجد زيادة سنوية وفق قرارات الوزارة.
Are there merit-based fee exemptions?,Yes  merit-based fee exemptions are available for top-performing high-school graduates and students with top grades; exemption rates are set yearly by the institute board.,هل توجد إعفاءات على أساس التفوق؟,نعم، توجد إعفاءات مبنية على التفوق الدراسي.
What are the institute's distinguishing features?,"The institute offers three separate majors, giving students a wide choice to select the program that best matches their abilities and qualifications. Benefits include:Minimum admission thresholds that help ensure a strong student body.A recognized bachelor degree equivalent approved by the Supreme Council of Universities and eligibility for professional registration.Graduates may apply for postgraduate studies at Egyptian universities.Accreditation by the National Authority for Quality Assurance and Accreditation.Dedicated bus lines across Greater Cairo and to governorates.A supervised student residence for female students.",ما هي مميزات المعهد؟,يضم المعهد ثلاثة برامج مميزة ويقدم تدريبًا عمليًا وفرص نشاط طلابي.
Is studying at the institute difficult?,Studies at the institute are rigorous and start from day one; the high caliber of admitted students supports a serious academic environment that preserves the institutes reputation.,هل الدراسة في المعهد صعبة؟,الدراسة قوية لكنها قابلة للتحمل مع المتابعة المنتظمة.
From which universities are the instructors?,"The teaching staff includes many appointed faculty members and a selection of academics from major Egyptian universities (e.g., Cairo, Ain Shams, etc.).",من أي جامعات يأتي أعضاء هيئة التدريس؟,أعضاء هيئة التدريس من جامعات حكومية وخاصة مع خبرات متنوعة.
Are there assistant appointments from alumni?,Yes  the institute often appoints top graduates as assistants annually according to their class ranking.,هل يتم تعيين معيدين من الخريجين؟,نعم، يتم تعيين بعض الأوائل وفق اللوائح.
How can international students apply?,International students apply through the General Directorate for Admission of Foreign Students at the Ministry of Higher Education via www.wafeden.gov.eg.They complete procedures with the foreign students office and pay the required fees to that office until an official nomination letter for the institute and program is issued.,كيف يتقدم الطلاب الوافدون؟,يتقدم الطلاب الوافدون عبر إدارة الوافدين ويتم إصدار خطاب الترشيح.
What are tuition fees for international students?,Tuition and payment procedures for international students are determined by the General Directorate for Foreign Students and may vary depending on nationality and country of qualification.,ما هي مصاريف الطلاب الوافدين؟,الرسوم تختلف حسب الجنسية والتعليم السابق.
When are transfer acceptance dates for previous qualifications?,"Transfer application dates for students with previous qualifications are from 15/8/2025 to 30/9/2025, subject to ministry instructions.",ما هي مواعيد قبول التحويلات للحاصلين على مؤهلات سابقة؟,من 15/8/2025 إلى 30/9/2025 تبعًا لتعليمات الوزارة.
What documents are required for transfers from non-equivalent faculties?,"Certified and stamped academic standing letter from the current college showing the students high-school score, specialization, national exam seat number, academic ranking, and eligibility to enroll in the new academic year 20252026.Eight recent passport photos.An authenticated copy of the high-school result certified by the college.Copy of the students national ID and guardian ID.Authenticated copy of the birth certificate; age must not exceed 23 at enrollment.Original Military Form (6) or Form (7) for those born 2004 and earlier, stamped by the military authorities.Military Form (2).Payment of transfer fees.The Student Affairs office reviews the documents; if conditions (including military and ministry approvals) are met, registration is completed after the ministry approves the transfer and the student is notified to provide their file.",ما هي المستندات المطلوبة للتحويل من كليات غير مناظرة؟,خطاب قيد مختوم وصور من الأوراق الأكاديمية ورسوم التحويل.
What documents are required for transfers from equivalent faculties above first year (advanced transfers)?,"Certified and stamped academic standing letter from the sending institution showing the student's admission grade, specialization, high-school score, national exam seat number, academic ranking, and eligibility to enroll in the new academic year 20252026. For institutes operating on a credit-hour system the student should have at least a Good grade or a cumulative average of 2.3.List of courses studied at the sending college, certified and stamped, showing course results, grades, and the academic content of each course.Eight recent passport-size photos.Authenticated copy of the high-school success form stamped by the college.Copy of the student and guardian national ID cards.Authenticated copy of the birth certificate stamped by the college (age must not exceed 23 at enrollment).Original Military Form (6) or (7) for those born 2004 and earlier, stamped by the military authorities.Military Form (2).The student will undergo an academic credit-transfer assessment by the institute's equivalency committee; the student will be notified of the preliminary result and the ministry will be contacted to approve the transfer for presentation to the sector committee at the Supreme Council of Universities. After ministry approval the student must bring their file to complete registration.Payment of the required transfer and equivalency fees.Students accepted for transfer above first year are limited to up to 10% of the students registered in the target year, according to ministry instructions.",ما هي المستندات المطلوبة للتحويل من كليات مناظرة فوق السنة الأولى؟,خطاب قيد مختوم يحدد السنة المناسبة طبقًا لتعليمات الوزارة.
Can a student transfer from one commerce track to another?,"Yes  provided the student has passed and meets the minimum admission score for their year of qualification. Transfers between commerce tracks require an internal academic equivalency review(course matching) by the institute. If the student does not meet the original-year threshold, a minimum grade of Good or a cumulative average of 2.3 (for credit-hour systems) is typically required.",هل يمكن للطالب التحويل بين شعب التجارة المختلفة؟,نعم، بشرط اجتياز المواد المطلوبة وتحقيق المعدل المطلوب.
Can a student transfer within specializations inside a track?,"Yes  transfers between specializations within a track are possible provided the student meets the minimum required grades for the destination specialization in the year of qualification and after a course equivalency assessment.If the student lacks the required original-year threshold, a minimum grade of Good or a cumulative average of 2.3 (credit-hour system) is usually required.",هل يمكن التحويل بين التخصصات داخل الشعبة؟,نعم، يمكن التحويل بين التخصصات داخل الشعبة وفق الشروط.
What documents are required from dismissed students from non-equivalent faculties?,"Original academic dismissal letter from the college or institute showing study sequence and year of dismissal, certified and stamped.Original high-school certificate.Original birth certificate (age must not exceed 23 at enrollment).Eight recent passport-size photos.Copy of the student and guardian national ID cards.Original Military Form (6) or (7) for those born 2004 and earlier, stamped by the military authorities.Military Form (2).Compliance with the qualification and minimum high-school score required for the desired specialization, and approvals from military authorities and the Ministry of Higher Education.Payment of required admission and transfer fees.",ما المستندات المطلوبة للطلاب المفصولين من كليات غير مناظرة؟,خطاب فصل أكاديمي وإيصال الرسوم والمستندات الشخصية.
